City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
597,Takeo,KH,78.8,few clouds,10.9167,104.8333,វីឡាត្រាសមី(TrustMe Villa)
602,Moerai,PF,80.94,broken clouds,-22.4333,-151.3333,Le Manotel
603,Tucupita,VE,76.37,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
606,Maragogi,BR,78.31,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
608,Coahuayana,MX,85.39,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
615,Oeiras,BR,76.8,overcast clouds,-7.0253,-42.1311,Hotel SESC Oeiras
620,Bombay,IN,82.38,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
621,Boa Vista,BR,85.98,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
622,Kapoeta,SS,82.74,broken clouds,4.7717,33.5903,Eastgate Hotel
623,Road Town,VG,78.89,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
626,Hambantota,LK,78.82,clear sky,6.1241,81.1185,Bungalow 63
629,Tarakan,ID,78.58,light rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
630,Abong Mbang,CM,77.32,overcast clouds,3.9833,13.1833,Auberge Angle Sur
634,Labuhan,ID,77.85,overcast clouds,-6.8844,112.2051,DoubleFAG
635,Jega,NG,80.67,few clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
639,Prattville,US,81.91,scattered clouds,32.464,-86.4597,InTown Suites Extended Stay Prattville AL
641,West Odessa,US,89.62,clear sky,31.8424,-102.4988,Corporate Mobile Housing
642,Leisure City,US,81,clear sky,25.4954,-80.4292,Hampton Inn & Suites Miami-South/Homestead
644,Minas De Oro,HN,75.34,overcast clouds,14.8,-87.35,Hotel Alvarado
648,Kavaratti,IN,82.58,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
665,Caraballeda,VE,82.47,scattered clouds,10.6112,-66.8522,Hotel 15 Letras
667,Compostela,PH,75.88,overcast clouds,7.6731,126.0889,Cocos hotel
679,Hervey Bay,AU,75.02,clear sky,-25.2986,152.8535,Shelly Bay Resort
680,Arlit,NE,75.85,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
682,Angoche,MZ,75.92,light rain,-16.2325,39.9086,Guest House HESADA
683,Yanam,IN,75.15,few clouds,16.7333,82.2167,The Regency Hotel
684,Kirakira,SB,84.87,overcast clouds,-10.4544,161.9205,SanBiz Lodge
692,Bodden Town,KY,81,broken clouds,19.2833,-81.25,Will T Place
697,Bossangoa,CF,76.23,few clouds,6.4926,17.4552,LA PERLE DE BOSTON
700,Nanakuli,US,81.72,broken clouds,21.3906,-158.1547,Camp Pālehua
703,Calabozo,VE,87.4,overcast clouds,8.9242,-67.4293,Hotel Giardini
708,Ban Phai,TH,75.42,clear sky,16.06,102.731,Inpawa Hotel
710,Bo Rai,TH,80.76,broken clouds,12.5728,102.5371,Baiboon Resort
714,Parana,AR,76.55,broken clouds,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
716,Saint-Joseph,RE,75.58,moderate rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
717,Palmerston,AU,79.93,light rain,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
